{'Loss': 6.578651416419756, 'MEPLoss': 6.414514607722216, 'MEPf1': 0.0013806864153593779, 'MEPacc': 0.002773870946839452, 'RCCLoss': 0.1641368085961088, 'RCCf1': 0.9328032732009888, 'RCCacc': 0.9325076341629028}
{'Loss': 6.55770996537539, 'MEPLoss': 6.397404725008672, 'MEPf1': 0.0014119711704552174, 'MEPacc': 0.0028196992352604866, 'RCCLoss': 0.16030524276418262, 'RCCf1': 0.9369345903396606, 'RCCacc': 0.9369263648986816}
{'Loss': 6.555365517587945, 'MEPLoss': 6.399253578469304, 'MEPf1': 0.001444895751774311, 'MEPacc': 0.0028477818705141544, 'RCCLoss': 0.15611193602960002, 'RCCf1': 0.9360817670822144, 'RCCacc': 0.9374215602874756}
{'Loss': 6.555292939195539, 'MEPLoss': 6.403285201233213, 'MEPf1': 0.0014576194807887077, 'MEPacc': 0.002876032143831253, 'RCCLoss': 0.15200773331954484, 'RCCf1': 0.9362474679946899, 'RCCacc': 0.9377699494361877}
{'Loss': 6.556375435083219, 'MEPLoss': 6.406273084111733, 'MEPf1': 0.0013821528991684318, 'MEPacc': 0.002776184817776084, 'RCCLoss': 0.15010234805303488, 'RCCf1': 0.9379001259803772, 'RCCacc': 0.9397683143615723}
{'Loss': 6.55273699996495, 'MEPLoss': 6.402252329458104, 'MEPf1': 0.0014065229333937168, 'MEPacc': 0.002828853437677026, 'RCCLoss': 0.15048466781200381, 'RCCf1': 0.9370747208595276, 'RCCacc': 0.9396035671234131}
{'Loss': 6.550070472282939, 'MEPLoss': 6.405270987217969, 'MEPf1': 0.0014559722039848566, 'MEPacc': 0.0028907370287925005, 'RCCLoss': 0.14479949796978053, 'RCCf1': 0.9444258809089661, 'RCCacc': 0.9441501498222351}
{'Loss': 6.534965014693761, 'MEPLoss': 6.397562071828559, 'MEPf1': 0.001541743054986, 'MEPacc': 0.0030210595577955246, 'RCCLoss': 0.13740293692456246, 'RCCf1': 0.9424837231636047, 'RCCacc': 0.9433619976043701}
{'Loss': 6.532114430229263, 'MEPLoss': 6.395286007682876, 'MEPf1': 0.001509272144176066, 'MEPacc': 0.0030495920218527317, 'RCCLoss': 0.13682842044399515, 'RCCf1': 0.9487186670303345, 'RCCacc': 0.9483490586280823}
{'Loss': 6.536543888620811, 'MEPLoss': 6.395297215716673, 'MEPf1': 0.0015607471577823162, 'MEPacc': 0.002999140415340662, 'RCCLoss': 0.1412466773210038, 'RCCf1': 0.941641628742218, 'RCCacc': 0.9423903226852417}
